Name,LegalSyst,RiskAversion,GenLiab
Australia,1,28.80000043,65.54081433
Australia,1,31.30000047,46.41325253
Australia,1,32.70000049,46.38497814
Australia,1,35.60000053,44.54901409
Australia,1,38.60000058,40.15536476
Australia,1,39.60000059,38.20920003
Australia,1,41.90000062,36.72340626
Austria,0,28.60000043,28.72176626
Austria,0,29,30.4122484
Austria,0,30.40000045,4.101725734
Austria,0,31.90000048,39.65488606
Austria,0,34.5,40.48351325
Austria,0,36.5,48.97694626
Austria,0,43.20000064,50.33080309
Belgium,0,33.20000049,30.98257075
Belgium,0,34.20000051,32.77974903
Belgium,0,36.10000054,32.7761775
Belgium,0,37.60000056,41.89890126
Belgium,0,NA,44.11305955
Belgium,0,NA,50.45309175
Belgium,0,NA,46.82725231
Canada,1,88.20000131,22.1028253
Canada,1,91.70000137,37.91993091
Canada,1,89.80000134,38.67679003
Canada,1,95.90000143,38.37139039
Canada,1,98.80000147,38.53888483
Canada,1,98.80000147,34.04791343
Canada,1,102.9,32.99327368
Denmark,0,30.30000045,17.30610277
Denmark,0,31.30000047,18.94038579
Denmark,0,33.3000005,18.91398007
Denmark,0,35.60000053,22.62969645
Denmark,0,37.60000056,21.97455322
Denmark,0,40.90000061,24.72526061
Denmark,0,NA,25.90441361
Finland,0,37.60000056,12.48042737
Finland,0,39.80000059,13.51065467
Finland,0,42.90000064,14.46175591
Finland,0,46.8000007,16.43344821
Finland,0,50.70000076,16.1558072
Finland,0,57,13.0363528
Finland,0,63.20000094,9.97189173
France,0,30.90000046,23.08308237
France,0,34.40000051,22.10575106
France,0,37,21.43814821
France,0,39.70000059,27.61772309
France,0,43,27.3327517
France,0,45.60000068,39.08239944
France,0,49.5,36.39812068
Greece,0,25.20000038,2.605255608
Greece,0,24.5,0.447984193
Greece,0,25,0.453835161
Greece,0,25,3.874820966
Greece,0,NA,4.933931328
Greece,0,NA,0.933543939
Greece,0,NA,0.964154069
Iceland,0,21.60000032,27.1997824
Iceland,0,22.90000034,34.93041935
Iceland,0,25.60000038,30.6321359
Iceland,0,NA,36.06658861
Iceland,0,29.20000044,37.44580213
Iceland,0,NA,42.27541601
Iceland,0,NA,35.54795599
Ireland,1,27.30000041,74.42161463
Ireland,1,29.5,74.20623657
Ireland,1,31.5,75.63742833
Ireland,1,33.8000005,97.05966315
Ireland,1,37.90000056,111.1080503
Ireland,1,34.20000051,126.5292966
Ireland,1,NA,122.7918283
Italy,0,26,15.36660361
Italy,0,26.8000004,16.95107984
Italy,0,27.90000042,18.61648465
Italy,0,29.80000044,24.22889372
Italy,0,31.70000047,26.47785718
Italy,0,33.7000005,30.14931804
Italy,0,37.30000056,25.91240244
Japan,0,29.60000044,8.059750381
Japan,0,30.20000045,10.22859994
Japan,0,30.70000046,10.57364336
Japan,0,NA,10.80558272
Japan,0,31.5,12.3000783
Japan,0,NA,14.01449257
Japan,0,NA,16.5557554
Luxembourg,0,NA,4.418431003
Luxembourg,0,NA,47.97101449
Luxembourg,0,NA,48.27706604
Luxembourg,0,NA,67.58137269
Luxembourg,0,NA,66.75820633
Luxembourg,0,NA,81.93689268
Luxembourg,0,NA,92.68990483
Netherlands,0,32.20000048,0.952896973
Netherlands,0,32.5,2.055394685
Netherlands,0,34.20000051,3.803315454
Netherlands,0,37.60000056,0.226265894
Netherlands,0,38.80000058,1.798203507
Netherlands,0,44.80000067,3.251978558
Netherlands,0,NA,1.743279261
New Zealand,1,36.30000054,8.548457974
New Zealand,1,41.10000061,5.274991459
New Zealand,1,43.5,2.359646446
New Zealand,1,39.80000059,0.167518899
New Zealand,1,44.80000067,0.636589114
New Zealand,1,49.70000074,2.666199685
New Zealand,1,57.5,3.344610794
Norway,0,33.10000049,16.57186845
Norway,0,34.60000052,20.59329163
Norway,0,38.40000057,20.4882167
Norway,0,41.90000062,27.72267979
Norway,0,45.30000068,30.21213702
Norway,0,49.30000073,26.00423971
Norway,0,54.40000081,22.05243886
Portugal,0,NA,1.507713306
Portugal,0,17.5,1.699920169
Portugal,0,19.10000028,1.871006631
Portugal,0,22.70000034,2.362294174
Portugal,0,23.40000035,2.822184833
Portugal,0,NA,3.588644482
Portugal,0,NA,3.469341636
Sweden,0,31.10000046,2.885121299
Sweden,0,NA,1.059874789
Sweden,0,30.10000045,0.332528668
Sweden,0,31.30000047,2.434484522
Sweden,0,33.8000005,1.915748259
Sweden,0,38.30000057,1.470539501
Sweden,0,NA,2.336993404
